Sex_female,Pclass,SibSp,Parch,Embarked_C,Embarked_Q,Embarked_S,Age
0,3,1,0,0,0,1,22
1,1,1,0,1,0,0,38
1,3,0,0,0,0,1,26
1,1,1,0,0,0,1,35
0,3,0,0,0,0,1,35
0,3,0,0,0,1,0,30
0,1,0,0,0,0,1,54
0,3,3,1,0,0,1,2
1,3,0,2,0,0,1,27
1,2,1,0,1,0,0,14
1,3,1,1,0,0,1,4
1,1,0,0,0,0,1,58
0,3,0,0,0,0,1,20
0,3,1,5,0,0,1,39
1,3,0,0,0,0,1,14
1,2,0,0,0,0,1,55
0,3,4,1,0,1,0,2
0,2,0,0,0,0,1,30
1,3,1,0,0,0,1,31
1,3,0,0,1,0,0,30
0,2,0,0,0,0,1,35
0,2,0,0,0,0,1,34
1,3,0,0,0,1,0,15
0,1,0,0,0,0,1,28
1,3,3,1,0,0,1,8
1,3,1,5,0,0,1,38
0,3,0,0,1,0,0,30
0,1,3,2,0,0,1,19
1,3,0,0,0,1,0,30
0,3,0,0,0,0,1,30
0,1,0,0,1,0,0,40
1,1,1,0,1,0,0,30
1,3,0,0,0,1,0,30
0,2,0,0,0,0,1,66
0,1,1,0,1,0,0,28
0,1,1,0,0,0,1,42
0,3,0,0,1,0,0,30
0,3,0,0,0,0,1,21
1,3,2,0,0,0,1,18
1,3,1,0,1,0,0,14
1,3,1,0,0,0,1,40
1,2,1,0,0,0,1,27
0,3,0,0,1,0,0,30
1,2,1,2,1,0,0,3
1,3,0,0,0,1,0,19
0,3,0,0,0,0,1,30
0,3,1,0,0,1,0,30
1,3,0,0,0,1,0,30
0,3,2,0,1,0,0,30
1,3,1,0,0,0,1,18
0,3,4,1,0,0,1,7
0,3,0,0,0,0,1,21
1,1,1,0,1,0,0,49
1,2,1,0,0,0,1,29
0,1,0,1,1,0,0,65
0,1,0,0,0,0,1,30
1,2,0,0,0,0,1,21
0,3,0,0,1,0,0,28
1,2,1,2,0,0,1,5
0,3,5,2,0,0,1,11
0,3,0,0,1,0,0,22
1,1,0,0,0,0,0,38
0,1,1,0,0,0,1,45
0,3,3,2,0,0,1,4
0,1,0,0,1,0,0,30
0,3,1,1,1,0,0,30
1,2,0,0,0,0,1,29
0,3,0,0,0,0,1,19
1,3,4,2,0,0,1,17
0,3,2,0,0,0,1,26
0,2,0,0,0,0,1,32
1,3,5,2,0,0,1,16
0,2,0,0,0,0,1,21
0,3,1,0,1,0,0,26
0,3,0,0,0,0,1,32
0,3,0,0,0,0,1,25
0,3,0,0,0,0,1,30
0,3,0,0,0,0,1,30
0,2,0,2,0,0,1,1
1,3,0,0,0,0,1,30
0,3,0,0,0,0,1,22
0,3,0,0,0,0,1,29
1,3,0,0,0,1,0,30
0,1,0,0,0,0,1,28
1,2,0,0,0,0,1,17
1,3,3,0,0,0,1,33
0,3,1,3,0,0,1,16
0,3,0,0,0,0,1,30
1,1,3,2,0,0,1,23
0,3,0,0,0,0,1,24
0,3,0,0,0,0,1,29
0,3,0,0,0,0,1,20
0,1,1,0,0,0,1,46
0,3,1,2,0,0,1,26
0,3,0,0,0,0,1,59
0,3,0,0,0,0,1,30
0,1,0,0,1,0,0,71
0,1,0,1,1,0,0,23
1,2,0,1,0,0,1,34
0,2,1,0,0,0,1,34
1,3,0,0,0,0,1,28
0,3,0,0,0,0,1,30
0,1,0,1,0,0,1,21
0,3,0,0,0,0,1,33
0,3,2,0,0,0,1,37
0,3,0,0,0,0,1,28
1,3,0,0,0,0,1,21
0,3,0,0,0,0,1,30
0,3,0,0,0,0,1,38
1,3,1,0,0,1,0,30
0,1,0,0,0,0,1,47
1,3,1,0,1,0,0,14
0,3,0,0,0,0,1,22
1,3,1,0,0,0,1,20
1,3,0,0,1,0,0,17
0,3,0,0,0,0,1,21
0,3,0,0,0,1,0,70
0,2,1,0,0,0,1,29
0,1,0,1,1,0,0,24
1,3,4,2,0,0,1,2
0,2,2,0,0,0,1,21
0,3,0,0,0,0,1,30
0,2,1,0,1,0,0,32
1,2,0,0,0,0,1,32
0,1,0,1,0,0,1,54
0,3,1,0,1,0,0,12
0,3,0,0,0,1,0,30
0,3,0,0,0,0,1,24
1,3,1,1,1,0,0,30
